0.30;0.52;9.90;-0.35;-0.14;0.07
0.30;0.48;9.94;0.00;0.21;-0.14
0.30;0.48;9.87;0.07;-0.14;0.14
0.30;0.44;9.87;-0.14;0.14;0.14
0.22;0.48;9.87;-0.07;0.07;-0.07
0.26;0.52;9.90;0.00;0.07;0.14
0.26;0.52;9.87;-0.07;0.00;0.14
0.30;0.48;9.87;0.00;-0.07;0.21
0.30;0.52;9.90;0.00;0.07;0.21
0.30;0.48;9.87;0.00;0.14;0.07
0.30;0.48;9.94;-0.07;-0.07;0.14
0.33;0.48;9.87;-0.21;-0.14;0.14
0.30;0.52;9.83;0.07;0.07;0.14
0.30;0.48;9.87;0.07;0.00;0.14
0.26;0.48;9.90;-0.07;0.14;0.21
0.30;0.55;9.90;-0.21;-0.07;0.00
0.33;0.52;9.87;-0.07;0.00;0.07
0.30;0.48;9.90;0.07;-0.07;0.07
0.30;0.52;9.90;-0.14;0.07;0.14
0.26;0.52;9.90;0.28;0.00;0.07
0.30;0.55;9.90;0.07;-0.07;0.14
0.33;0.48;9.87;-0.07;0.07;0.14
0.26;0.52;9.90;-0.21;0.14;0.14
0.22;0.48;9.87;0.07;0.00;-0.07
0.33;0.44;9.90;-0.07;0.07;0.07
0.30;0.55;9.90;0.00;-0.14;0.07
0.30;0.48;9.90;0.00;0.07;0.14
0.26;0.55;9.90;0.00;0.00;-0.07
0.30;0.48;9.87;-0.14;-0.14;0.00
0.26;0.52;9.87;0.07;0.07;0.00
0.26;0.52;9.83;0.14;0.14;0.07
0.33;0.48;9.90;-0.14;0.00;0.00
0.30;0.52;9.90;0.07;0.00;0.21
0.26;0.52;9.90;0.14;-0.07;0.21
0.26;0.48;9.94;0.07;-0.07;0.21
0.30;0.52;9.87;0.00;0.00;0.21
0.30;0.48;9.90;-0.07;0.07;-0.07
0.30;0.48;9.90;0.00;0.07;0.07
0.30;0.55;9.94;0.14;-0.21;0.07
0.30;0.48;9.90;0.07;-0.07;0.07
0.30;0.52;9.87;-0.28;-0.07;-0.14
0.30;0.52;9.83;0.00;0.00;0.21
0.30;0.52;9.90;-0.07;0.07;0.07
0.30;0.52;9.87;-0.14;0.21;-0.07
0.33;0.52;9.90;-0.14;-0.21;0.07
0.33;0.52;9.94;-0.21;-0.21;0.07
0.30;0.52;9.87;-0.07;0.21;0.07
0.33;0.48;9.83;0.00;0.07;0.07
0.26;0.52;9.90;0.07;0.14;0.00
0.26;0.52;9.90;0.07;-0.14;0.14
0.26;0.48;9.90;-0.07;-0.07;0.07
0.30;0.48;9.87;-0.42;0.07;-0.07
0.30;0.52;9.87;-0.07;0.07;0.21
0.26;0.48;9.87;0.00;-0.28;0.14
0.22;0.52;9.94;0.35;0.07;0.07
0.22;0.52;9.90;0.28;0.21;0.07
0.26;0.52;9.90;-0.07;0.07;0.14
0.26;0.52;9.87;0.14;0.14;0.07
0.30;0.52;9.87;0.07;0.07;-0.14
0.30;0.52;9.90;0.00;0.07;0.14
0.26;0.48;9.90;-0.28;-0.07;-0.07
0.26;0.48;9.94;-1.04;-0.14;-0.14
