12300	-26.06	176.90	-26.61	175.53	4.45	-179.71	3.05	36.30
12399	-25.96	178.05	-26.49	176.37	4.45	-178.84	3.06	-29.01
12500	-25.75	178.26	-26.26	177.09	4.06	-179.94	2.63	-75.56
12599	-25.65	176.17	-26.17	176.88	4.43	-179.93	3.03	-107.63
12700	-25.63	176.91	-26.15	176.89	4.54	179.84	6.74	-17.66
12801	-25.64	176.92	-26.16	176.90	4.91	-179.71	3.55	-68.57
12900	-25.52	177.81	-26.02	177.27	4.86	179.62	7.08	10.50
13000	-25.42	176.66	-25.92	177.14	4.86	178.04	7.08	64.41
13100	-25.36	178.49	-25.83	177.62	5.06	-179.94	3.71	-14.80
13199	-25.21	175.05	-25.70	176.88	5.23	179.84	7.49	49.09
13298	-25.00	175.99	-25.46	176.73	5.28	-179.71	3.95	-26.52
13400	-24.99	176.00	-25.46	176.49	5.02	178.94	7.25	41.83
13498	-25.02	177.62	-25.47	176.85	5.18	178.53	7.42	87.93
13599	-25.12	175.71	-25.60	176.40	5.21	-179.48	3.88	-2.79
13699	-25.19	177.40	-25.66	176.70	5.27	178.97	7.53	59.45
13800	-25.32	174.73	-25.83	175.93	5.50	179.84	7.79	101.14
13899	-25.29	175.42	-25.78	175.78	5.22	179.40	7.48	128.19
14001	-25.18	177.32	-25.64	176.39	5.37	179.84	7.65	146.41
14101	-25.25	176.45	-25.73	176.37	5.31	178.27	7.57	157.64
14200	-25.25	174.77	-25.74	175.80	5.39	179.61	7.67	165.52
14301	-25.04	176.48	-25.50	176.17	5.43	179.40	7.70	170.53
14400	-24.95	176.48	-25.41	176.34	5.55	179.62	7.84	173.90
14501	-24.89	177.33	-25.33	176.74	5.77	-178.81	4.50	45.37
14602	-24.96	178.22	-25.40	177.24	5.68	178.94	7.98	94.41
14702	-24.79	177.16	-25.22	177.32	5.70	-179.49	4.41	-7.01
14802	-24.63	178.05	-25.04	177.69	6.00	-179.94	4.74	-71.33
14902	-24.61	176.14	-25.04	177.12	5.81	-179.02	4.54	-111.91
15002	-24.45	177.39	-24.85	177.33	5.94	-179.72	4.67	-137.50
15101	-24.47	176.90	-24.88	177.15	5.81	179.17	8.12	-16.87
15202	-24.47	177.59	-24.88	177.31	5.66	-179.94	4.37	-79.56
15301	-24.48	177.82	-24.88	177.50	5.75	178.29	8.05	20.16
15403	-24.58	178.92	-24.97	178.00	5.76	179.40	8.06	82.14
15502	-25.60	175.80	-26.12	176.51	6.45	177.16	8.79	119.79
15602	-25.96	177.79	-26.49	176.80	6.43	179.17	8.79	143.20
15703	-26.43	174.63	-27.03	175.65	6.86	-178.81	5.68	15.60
15801	-27.41	176.09	-28.09	175.24	7.38	179.84	9.84	81.56
15901	-28.05	174.59	-28.80	174.60	7.82	179.85	10.31	121.36
16001	-28.29	171.59	-29.09	173.24	8.53	-176.86	7.52	1.04
16101	-28.41	175.06	-29.19	173.91	8.74	-178.64	7.73	-72.04
16200	-28.84	169.16	-29.72	171.71	9.18	-176.19	8.23	-114.48
16302	-28.75	174.14	-29.57	172.76	9.31	-178.40	8.36	-140.77
16402	-28.90	171.19	-29.76	172.02	9.40	-177.65	8.46	-156.03
16501	-28.89	170.74	-29.76	171.49	9.46	-176.28	8.54	-164.45
